#Cavs - 0 points
(Via @KCJHoop)
Sun May 10 19:58:48 +0000 2015,END OF 1: Bulls lead the #Cavs 28-26
Sun May 10 19:58:45 +0000 2015,RT @CavsJMike: Kanye West just jumped on the floor and rapped during a timeout....Bulls 18  #Cavs 16 in the first http://t.co/7YjbOl6iQg
Sun May 10 19:58:44 +0000 2015,Without gasol, bulls still getting lot of second chance points! Smh... Crank up the D #Cavs
Sun May 10 19:58:43 +0000 2015,Respective quarter. @cavs need to cut down on their turnovers and get to the basket. #ALLinCLE #Cavs
Sun May 10 19:58:42 +0000 2015,For my own health I'm putting myself in timeout from the #Cavs game.. 5 minutes of Hangover 2 starting now..
Sun May 10 19:58:42 +0000 2015,#Cavs only down 2? Feels like it should be 10. Butler/Rose doing everything they want, Kyrie still bad (and maybe benched?). Aggravating ...
Sun May 10 19:58:40 +0000 2015,@JimmyButler is playin tight d on @KingJames .... The #Cavs others gon have to step up to get this one! #CavsBulls #NBAPlayoffs #gethigher
Sun May 10 19:58:39 +0000 2015,RT @JasonLloydABJ: End 1Q: Bulls 28, #Cavs 26. James 9p,4r,3a,4to; Thompson 4p, Irving 2p,0a,0/3 fg. CHI Rose 9p, Butler 9p. CLE 52%, 6TO; …
Sun May 10 19:58:38 +0000 2015,RT @JasonLloydABJ: End 1Q: Bulls 28, #Cavs 26. James 9p,4r,3a,4to; Thompson 4p, Irving 2p,0a,0/3 fg. CHI Rose 9p, Butler 9p. CLE 52%, 6TO; …
Sun May 10 19:58:38 +0000 2015,Somehow #Cavs are only down two after the first, feels like the #Bulls should be up by 10
Sun May 10 19:58:37 +0000 2015,After 1Q in CHI, #Cavs down, 28-26, both teams shooting 52% FG; @KingJames, 9pts, 4-8 FG, 4reb, 3asst; D. Rose, Butler, 9pts apiece for CHI.
Sun May 10 19:58:36 +0000 2015,RT @CavsJMike: Kanye West just jumped on the floor and rapped during a timeout....Bulls 18  #Cavs 16 in the first http://t.co/7YjbOl6iQg
Sun May 10 19:58:34 +0000 2015,RT @CavsJMike: Kanye West just jumped on the floor and rapped during a timeout....Bulls 18  #Cavs 16 in the first http://t.co/7YjbOl6iQg
Sun May 10 19:58:32 +0000 2015,RT @CavsJMike: Kanye West just jumped on the floor and rapped during a timeout....Bulls 18  #Cavs 16 in the first http://t.co/7YjbOl6iQg
Sun May 10 19:58:32 +0000 2015,RT @CavsJMike: Kanye West just jumped on the floor and rapped during a timeout....Bulls 18  #Cavs 16 in the first http://t.co/7YjbOl6iQg
Sun May 10 19:58:31 +0000 2015,#Bulls and #Cavs ended that first quarter like it was the 4th #NBAPlayoffs
Sun May 10 19:58:29 +0000 2015,The #Bulls outplayed #Cavs first quarter, but they should be up more than two. Hinrich better at the 3 so far in the postseason.
Sun May 10 19:58:28 +0000 2015,Let's see if the #Cavs can turn it around and come out with a win. #NBAPlayoffs
Sun May 10 19:58:26 +0000 2015,RT @CavsJMike: Kanye West just jumped on the floor and rapped during a timeout....Bulls 18  #Cavs 16 in the first http://t.co/7YjbOl6iQg
Sun May 10 19:58:26 +0000 2015,@matthewdelly needs to stay in the game. #Cavs
Sun May 10 19:58:25 +0000 2015,RT @CavsJMike: Kanye West just jumped on the floor and rapped during a timeout....Bulls 18  #Cavs 16 in the first http://t.co/7YjbOl6iQg
Sun May 10 19:58:24 +0000 2015,RT @CavsJMike: Kanye West just jumped on the floor and rapped during a timeout....Bulls 18  #Cavs 16 in the first http://t.co/7YjbOl6iQg
Sun May 10 19:58:23 +0000 2015,Final del primer cuarto... #Bulls ganan 26-28 ante #Cavs #GoBulls #SeeRed #CAVSvBULLS #NBA
Sun May 10 19:58:19 +0000 2015,The #Cavs' help defense is atrocious. #CavsBulls
Sun May 10 19:58:17 +0000 2015,RT @CavsJMike: Kanye West just jumped on the floor and rapped during a timeout....Bulls 18  #Cavs 16 in the first http://t.co/7YjbOl6iQg
Sun May 10 19:58:16 +0000 2015,Surprised Butlers end of qtr shot didn't bounce of a rafter, change direction in mid air and bank in. #Cavs
Sun May 10 19:58:15 +0000 2015,When LeBron drives to the rack, we cannot lose. It's. That. Simple. #Cavs
Sun May 10 19:58:15 +0000 2015,RT @CavsJMike: Kanye West just jumped on the floor and rapped during a timeout....Bulls 18  #Cavs 16 in the first http://t.co/7YjbOl6iQg
Sun May 10 19:58:15 +0000 2015,RT @JasonLloydABJ: End 1Q: Bulls 28, #Cavs 26. James 9p,4r,3a,4to; Thompson 4p, Irving 2p,0a,0/3 fg. CHI Rose 9p, Butler 9p. CLE 52%, 6TO; …
Sun May 10 19:58:14 +0000 2015,RT @MikeVick: Cavs vs. Bulls ....who ya got? I'm goin #Cavs @KyrieIrving is gonna step up. #believethat #warrior
Sun May 10 19:58:12 +0000 2015,RT @JasonLloydABJ: Bulls shooting 50%, but a lot of that (8pts) in transition off #Cavs turnovers. Cavs half-court defense really hasn't be…
Sun May 10 19:58:11 +0000 2015,I'm glad the #Cavs figure out their problems on D. #sarcasm
Sun May 10 19:58:10 +0000 2015,RT @CRS_1ne: #Cavs Delly posts up Aaron Brooks so easily I'm wondering if he's a Fathead
Sun May 10 19:58:10 +0000 2015,Terrible 1st Q, but only down 2. Butler is playing out of his mind. Noah should have 5 fouls. #Cavs
Sun May 10 19:58:08 +0000 2015,Let's go #Cavs we #ALLinCLE
Sun May 10 19:58:08 +0000 2015,RT @CavsJMike: Kanye West just jumped on the floor and rapped during a timeout....Bulls 18  #Cavs 16 in the first http://t.co/7YjbOl6iQg
Sun May 10 19:58:07 +0000 2015,@KyrieIrving needs to chill out by the 3pt line. Clearly his penetration game is hindered by his foot injury. #adjust #cavs #theland
Sun May 10 19:58:06 +0000 2015,As the announcer said Lebron is unstoppable when he goes to glass. So @KingJames go the fning glass and stop settling on jumpers! #Cavs
Sun May 10 19:58:06 +0000 2015,End of 1 #Bulls lead #Cavs 28-26. Butler and Rose both with 9. Lebron with 9 pts. #HSH
Sun May 10 19:58:06 +0000 2015,#NBAPlayoffs  Winning probabilities as of Q1-0:00 #Cavs: 50%  #Bulls: 50%
